Latitude (decimal degrees):	59.002
Longitude (decimal degrees):	5.744
Elevation (m):	16
Radiation database:	PVGIS-SARAH3


Slope: 42 deg. (optimum)
Azimuth: 5 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.73,3.17,0.0
20230101:0111,0.0,0.0,0.15,3.1,0.0
20230101:0211,0.0,0.0,0.14,2.62,0.0
20230101:0311,0.0,0.0,-0.21,2.76,0.0
20230101:0411,0.0,0.0,-0.48,2.97,0.0
20230101:0511,0.0,0.0,-0.67,2.83,0.0
20230101:0611,0.0,0.0,-0.88,2.97,0.0
20230101:0711,0.0,0.0,-1.25,3.31,0.0
20230101:0811,0.0,0.0,-1.25,3.38,0.0
20230101:0911,53.0,2.42,-1.35,3.45,0.0
20230101:1011,53.31,5.95,-0.72,3.72,0.0
20230101:1111,167.88,7.77,0.67,3.93,0.0
20230101:1211,296.3,7.74,1.53,4.14,0.0
20230101:1311,120.76,5.86,1.74,4.55,0.0
20230101:1411,1.79,2.28,1.67,4.55,0.0
20230101:1511,0.0,0.0,1.42,4.07,0.0
20230101:1611,0.0,0.0,1.42,3.79,0.0
20230101:1711,0.0,0.0,1.37,3.38,0.0
20230101:1811,0.0,0.0,1.3,3.31,0.0
20230101:1911,0.0,0.0,1.26,2.83,0.0
20230101:2011,0.0,0.0,1.15,3.52,0.0
20230101:2111,0.0,0.0,1.44,3.59,0.0
20230101:2211,0.0,0.0,2.06,2.55,0.0
20230101:2311,0.0,0.0,2.09,3.03,0.0
20230102:0011,0.0,0.0,2.08,3.03,0.0
20230102:0111,0.0,0.0,1.9,3.1,0.0
20230102:0211,0.0,0.0,1.96,3.1,0.0
20230102:0311,0.0,0.0,2.0,3.1,0.0
20230102:0411,0.0,0.0,2.3,3.24,0.0
20230102:0511,0.0,0.0,2.3,3.38,0.0
20230102:0611,0.0,0.0,2.4,3.45,0.0
20230102:0711,0.0,0.0,2.54,3.72,0.0
20230102:0811,0.0,0.0,2.49,3.66,0.0
20230102:0911,1.79,2.47,2.51,3.45,0.0
20230102:1011,5.38,6.01,3.06,3.17,0.0
20230102:1111,8.07,7.85,3.21,3.1,0.0
20230102:1211,8.07,7.83,3.05,3.24,0.0
20230102:1311,100.88,5.97,2.76,3.1,0.0
20230102:1411,1.79,2.4,2.64,3.17,0.0
20230102:1511,0.0,0.0,2.85,3.17,0.0
20230102:1611,0.0,0.0,2.77,3.38,0.0
20230102:1711,0.0,0.0,2.93,3.79,0.0
20230102:1811,0.0,0.0,2.91,4.0,0.0
20230102:1911,0.0,0.0,3.01,4.07,0.0
